customer_id,state_code,gender,customer_subscription
id_9352,NH,F,Premium
id_7457,NH,F,Premium
id_1037,NH,F,Premium
id_3606,NH,F,Basic
id_6865,NH,M,Basic
id_1816,NH,M,Basic
id_7846,NH,F,Premium
id_8562,NH,M,Premium
id_7003,NH,M,Premium
id_5009,NH,F,Premium
id_7684,NH,F,Basic
id_8214,NH,F,Premium
id_7764,NH,M,Premium
id_6022,NH,M,Basic
id_304,NH,F,Basic
id_5653,NH,M,Basic
id_5989,NH,F,Premium
id_4912,NH,M,Basic
id_3793,NH,M,Basic
id_7585,NH,M,Premium
id_9024,NH,M,Basic
id_1049,NH,F,Basic
id_124,NH,F,Premium
id_3047,NH,F,Premium
id_2673,NH,F,Premium
id_4259,NH,F,Premium
id_8181,NH,F,Premium
id_8020,NH,M,Premium
id_8419,NH,M,Premium
id_6294,NH,M,Basic
id_844,NH,F,Basic
id_6712,NH,F,Premium
id_8669,NH,F,Basic
id_248,NH,M,Premium
id_1848,NH,M,Basic
id_2163,NH,M,Premium
id_9492,NH,M,Basic
id_8198,NH,M,Basic
id_5223,NH,M,Basic
id_3045,NH,M,Basic
id_1073,NH,F,Basic
id_3729,NH,F,Basic
id_371,NH,F,Basic
id_2438,NH,F,Basic
id_7939,NH,F,Premium
id_229,NH,M,Basic
id_5007,NH,F,Premium
id_142,NH,F,Basic
id_6256,NH,M,Basic
id_1154,NH,M,Basic
id_7554,NH,M,Basic
id_7129,NH,F,Basic
id_2024,NH,M,Basic
id_2461,NH,F,Basic
id_4423,NH,M,Basic
id_1431,NH,F,Basic
id_2995,NH,M,Premium
id_7016,NH,M,Basic
id_9217,NH,F,Basic
id_5340,NH,F,Basic
id_8704,NH,F,Basic
id_169,NH,M,Basic
id_8399,NH,M,Premium
id_1111,NH,F,Basic
id_522,NH,F,Basic
id_8557,NH,M,Premium
id_4144,NH,F,Basic
id_7024,NH,M,Premium
id_1072,NH,F,Premium
id_8010,NH,F,Basic
id_1039,NH,F,Basic
id_6581,NH,F,Premium
id_7090,NH,F,Basic
id_2913,NH,M,Premium
id_615,NH,M,Basic
id_3915,NH,M,Premium
id_4156,NH,F,Premium
id_6908,NH,F,Premium
id_4639,NH,M,Premium
id_4446,NH,M,Basic
id_3370,NH,M,Basic
id_9999,NH,F,Basic
id_8936,NH,F,Basic
id_8918,NH,M,Basic
id_9719,NH,F,Basic
id_1097,NH,M,Premium
id_9365,NH,M,Premium
id_6070,NH,F,Premium
id_9213,NH,F,Premium
id_8894,NH,F,Basic
id_3273,NH,F,Basic
id_1040,NH,M,Premium
id_1745,NH,F,Basic
id_6051,NH,F,Premium
id_690,NH,F,Basic
id_5639,NH,F,Premium
id_372,NH,F,Premium
id_9760,NH,F,Premium
id_5582,NH,F,Basic
id_982,NH,M,Premium
id_879,NH,F,Premium
id_7233,NH,F,Premium
id_5493,NH,F,Premium
id_717,NH,M,Premium
id_6982,NH,F,Basic
id_9997,NH,M,Premium
id_1863,NH,F,Premium
id_3175,NH,M,Basic
id_2586,NH,F,Premium
id_7273,NH,F,Basic
id_2396,NH,M,Basic
id_5645,NH,M,Premium
id_100,NH,F,Basic
id_9930,NH,M,Premium
id_117,NH,M,Premium
id_6099,NH,F,Premium
id_9154,NH,M,Premium
id_6926,NH,F,Premium
id_7546,NH,M,Basic
id_5992,NH,M,Basic
id_5651,NH,F,Premium
id_5196,NH,F,Basic
id_7678,NH,F,Premium
id_9744,NH,F,Premium
id_7497,NH,F,Premium
id_1590,NH,M,Premium
id_5071,NH,F,Premium
id_8604,NH,F,Premium
id_1915,NH,M,Premium
id_59,NH,M,Basic
id_8697,NH,M,Basic
id_9316,NH,M,Premium
id_2927,NH,M,Basic
id_6429,NH,F,Premium
id_5711,NH,M,Premium
id_5755,NH,F,Premium
id_4184,NH,M,Basic
id_1069,NH,F,Basic
id_3016,NH,M,Basic
id_5267,NH,M,Premium
id_521,NH,M,Basic
id_4488,NH,M,Premium
id_5254,NH,M,Premium
id_3402,NH,M,Basic
id_5943,NH,M,Basic
id_1416,NH,M,Basic
id_9750,NH,F,Premium
id_9993,NH,F,Basic
id_2779,NH,F,Basic
id_8215,NH,M,Premium
id_775,NH,F,Premium
id_1544,NH,M,Premium
id_4954,NH,M,Basic
id_6197,NH,F,Premium
id_9729,NH,F,Basic
id_4448,NH,F,Basic
id_3971,NH,M,Premium
id_4268,NH,M,Premium
id_2643,NH,F,Basic
id_8037,NH,F,Basic
id_4372,NH,F,Premium
id_3171,NH,F,Premium
id_5951,NH,M,Premium
id_6789,NH,M,Premium
id_3782,NH,F,Premium
id_609,NH,M,Premium
id_7762,NH,F,Premium
id_65,NH,M,Premium
id_6602,NH,M,Basic
id_2164,NH,M,Premium
id_186,NH,F,Premium
id_9966,NH,M,Premium
id_5429,NH,M,Premium
id_1363,NH,M,Basic
id_1978,NH,F,Basic
id_7731,NH,M,Basic
id_1207,NH,F,Basic
id_141,NH,F,Basic
id_9545,NH,F,Premium
id_7640,NH,F,Basic
id_5215,NH,F,Premium
id_4059,NH,F,Basic
id_3236,NH,M,Basic
id_8735,NH,F,Basic
id_9660,NH,F,Premium
id_3825,NH,F,Premium
id_7308,NH,M,Premium
id_9065,NH,M,Premium
id_8993,NH,F,Basic
id_9271,NH,M,Premium
id_3385,NH,M,Basic
id_916,NH,F,Premium
id_9469,NH,M,Basic
id_5017,NH,M,Basic
id_5180,NH,F,Premium
id_3887,NH,F,Premium
id_6182,NH,F,Basic
id_2023,NH,F,Basic
id_6782,NH,M,Premium
id_7151,NH,F,Basic
id_5923,NH,F,Premium
id_9647,NH,F,Premium
id_7768,NH,M,Premium
id_63,NH,F,Basic
id_8534,NH,F,Basic
id_3812,NH,F,Basic
id_490,NH,M,Premium
id_7592,NH,F,Premium
id_6584,NH,M,Premium
id_279,NH,M,Premium
id_8863,NH,F,Premium
id_3095,NH,M,Basic
id_8273,NH,F,Basic
id_1021,NH,M,Premium
id_9871,NH,M,Basic
id_367,NH,F,Basic
id_1361,NH,M,Basic
id_2853,NH,F,Premium
id_1888,NH,F,Basic
id_3575,NH,M,Basic
id_5962,NH,F,Basic
id_4738,NH,M,Basic
id_3850,NH,F,Premium
id_128,NH,F,Premium
id_9147,NH,M,Premium
id_6713,NH,F,Premium
id_770,NH,M,Premium
id_1214,NH,M,Basic
id_7570,NH,M,Premium
id_7390,NH,F,Basic
id_8925,NH,M,Premium
id_1316,NH,M,Premium
id_6890,NH,F,Premium
id_3080,NH,F,Premium
id_8623,NH,M,Basic
id_7817,NH,M,Basic
id_4081,NH,M,Basic
id_9130,NH,M,Premium
id_3712,NH,M,Basic
id_3858,NH,F,Premium
id_1470,NH,M,Premium
id_534,NH,F,Basic
id_1158,NH,M,Premium
id_3668,NH,M,Premium
id_9835,NH,F,Premium
id_2941,NH,F,Basic
id_9551,NH,M,Premium
id_8060,NH,M,Premium
id_1753,NH,F,Basic
id_5872,NH,F,Premium
id_9326,NH,M,Premium
id_8787,NH,F,Basic
id_1826,NH,F,Basic
id_9527,NH,F,Basic
id_9178,NH,M,Premium
id_5879,NH,M,Basic
id_2806,NH,M,Basic
id_1476,NH,M,Premium
id_8945,NH,F,Premium
id_8375,NH,M,Premium
id_3984,NH,F,Basic
id_824,NH,M,Basic
id_5417,NH,F,Basic
id_3767,NH,M,Premium
id_1941,NH,M,Basic
id_2237,NH,F,Basic
id_3422,NH,M,Premium
id_3537,NH,M,Premium
id_2611,NH,M,Premium
id_4255,NH,F,Basic
id_6802,NH,F,Premium
id_7238,NH,F,Basic
id_2730,NH,F,Premium
id_1499,NH,M,Premium
id_2691,NH,M,Premium
id_2713,NH,F,Premium
id_3021,NH,F,Basic
id_8930,NH,F,Premium
id_5508,NH,M,Premium
id_9332,NH,M,Basic
id_8320,NH,M,Premium
id_3787,NH,F,Premium
id_8426,NH,M,Basic
id_7376,NH,F,Basic
id_5500,NH,F,Premium
id_2658,NH,F,Basic
id_6532,NH,M,Basic
id_8948,NH,F,Basic
id_3875,NH,M,Premium
id_4647,NH,F,Basic
id_9156,NH,F,Basic
id_6590,NH,M,Premium
id_1263,NH,M,Basic
id_8167,NH,M,Basic
id_7385,NH,M,Premium
id_7491,NH,M,Basic
id_643,NH,M,Basic
id_4713,NH,F,Basic
id_4142,NH,M,Premium
id_9073,NH,M,Basic
id_7141,NH,M,Premium
id_9440,NH,M,Basic
id_8943,NH,M,Basic
id_874,NH,F,Basic
id_793,NH,M,Basic
id_9374,NH,M,Basic
id_9683,NH,F,Premium
id_7555,NH,M,Basic
id_9120,NH,F,Basic
id_2288,NH,F,Premium
id_6763,NH,M,Basic
id_1966,NH,F,Premium
id_5103,NH,M,Premium
id_9035,NH,M,Basic
id_4064,NH,M,Basic
id_8844,NH,F,Premium
id_6872,NH,M,Basic
id_3453,NH,F,Premium
id_7827,NH,M,Premium
id_4511,NH,F,Premium
id_4427,NH,F,Basic
id_4702,NH,M,Basic
id_2323,NH,F,Premium
id_3063,NH,M,Premium
id_6911,NH,M,Premium
id_6537,NH,M,Basic
id_5806,NH,F,Basic
id_1341,NH,F,Premium
id_2760,NH,M,Basic
id_5945,NH,F,Premium
id_4147,NH,M,Basic
id_6177,NH,F,Premium
id_9587,NH,M,Premium
id_4598,NH,M,Premium
id_5129,NH,F,Premium
id_9298,NH,M,Basic
id_6639,NH,M,Premium
id_4060,NH,F,Basic
id_864,NH,F,Premium
id_8190,NH,F,Basic
id_1058,NH,F,Basic
id_5688,NH,M,Premium
id_7573,NH,M,Premium
id_2988,NH,F,Premium
id_3889,NH,F,Basic
id_3205,NH,M,Basic
id_7887,NH,F,Basic
id_7478,NH,F,Basic
id_8657,NH,F,Basic
id_2317,NH,M,Basic
id_8969,NH,F,Basic
id_8114,NH,M,Premium
id_9944,NH,M,Basic
id_5052,NH,F,Premium
id_9339,NH,F,Premium
id_2743,NH,M,Premium
id_8471,NH,M,Premium
id_7758,NH,F,Basic
id_6816,NH,F,Premium
id_9525,NH,M,Basic
id_3256,NH,F,Premium
id_4332,NH,F,Premium
id_3706,NH,M,Basic
id_8814,NH,M,Premium
id_795,NH,M,Basic
id_4681,NH,M,Premium
id_881,NH,M,Basic
id_5320,NH,M,Premium
id_1307,NH,M,Premium
id_9179,NH,M,Basic
id_2063,NH,M,Premium
id_9959,NH,F,Premium
id_1609,NH,M,Basic
id_7627,NH,M,Basic
id_7530,NH,F,Basic
id_9644,NH,M,Premium
id_9543,NH,M,Basic
id_3980,NH,M,Premium
id_8688,NH,F,Basic
id_6651,NH,M,Premium
id_2339,NH,F,Basic
id_7258,NH,M,Premium
id_2895,NH,F,Premium
id_9896,NH,M,Basic
id_8459,NH,M,Premium
id_2145,NH,F,Premium
id_3128,NH,M,Basic
id_4236,NH,F,Basic
id_2755,NH,M,Basic
id_7292,NH,M,Premium
id_2056,NH,M,Premium
id_1130,NH,F,Basic
id_8047,NH,M,Basic
id_1860,NH,M,Basic
id_6259,NH,M,Basic
id_3604,NH,M,Basic
id_2648,NH,F,Premium
id_8196,NH,F,Basic
id_1770,NH,F,Basic
id_5851,NH,F,Premium
id_7839,NH,F,Premium
id_705,NH,M,Premium
id_1475,NH,F,Basic
id_9025,NH,F,Basic
id_5348,NH,M,Basic
id_7952,NH,F,Basic
id_6310,NH,F,Premium
id_4762,NH,F,Premium
id_4940,NH,M,Premium
id_5463,NH,F,Basic
id_470,NH,F,Basic
id_5611,NH,M,Basic
id_4117,NH,F,Premium
id_3691,NH,F,Premium
id_1874,NH,F,Basic
id_430,NH,F,Basic
id_7932,NH,F,Basic
id_2871,NH,M,Premium
id_1661,NH,M,Basic
id_8110,NH,F,Basic
id_1012,NH,M,Basic
id_2786,NH,M,Basic
id_4843,NH,M,Premium
id_7777,NH,F,Premium
id_9048,NH,F,Basic
id_7074,NH,F,Premium
id_96,NH,F,Basic
id_9615,NH,M,Premium
id_5601,NH,F,Premium
id_4999,NH,M,Premium
id_9808,NH,F,Premium
id_5060,NH,F,Premium
id_8452,NH,F,Premium
id_7101,NH,F,Premium
id_9717,NH,M,Premium
id_2265,NH,F,Basic
id_5456,NH,M,Premium
id_5924,NH,M,Basic
id_3963,NH,F,Basic
id_5031,NH,M,Basic
id_6136,NH,M,Premium
id_5981,NH,F,Basic
id_2841,NH,F,Basic
id_4406,NH,M,Basic
id_1878,NH,M,Premium
id_967,NH,F,Basic
id_7552,NH,M,Premium
id_5248,NH,F,Basic
id_6454,NH,F,Premium
id_7641,NH,F,Premium
id_9827,NH,M,Basic
id_4419,NH,F,Basic
id_9666,NH,M,Premium
id_4386,NH,M,Premium
id_461,NH,M,Premium
id_8643,NH,F,Basic
id_7591,NH,M,Basic
id_275,NH,F,Premium
id_6347,NH,M,Basic
id_2604,NH,M,Basic
id_9001,NH,F,Premium
id_7736,NH,M,Premium
id_2811,NH,F,Basic
id_256,NH,M,Premium
id_5321,NH,M,Premium
id_9832,NH,F,Premium
id_5468,NH,M,Premium
id_217,NH,M,Premium
id_3151,NH,F,Basic
id_1937,NH,M,Premium
id_5811,NH,M,Premium
id_1540,NH,M,Premium
id_2638,NH,F,Basic
id_4159,NH,M,Premium
id_3178,NH,M,Basic
id_3183,NH,F,Premium
id_3527,NH,F,Basic
id_3584,NH,F,Premium
id_8568,NH,F,Basic
id_6780,NH,M,Basic
id_4013,NH,M,Premium
id_8352,NH,F,Basic
id_817,NH,M,Premium
id_634,NH,M,Premium
id_4442,NH,F,Basic
id_3498,NH,F,Premium
id_3751,NH,M,Basic
id_6151,NH,M,Basic
id_811,NH,M,Premium
id_1068,NH,M,Basic
id_8674,NH,F,Basic
id_5229,NH,F,Premium
id_7541,NH,F,Premium
id_9236,NH,F,Basic
id_6315,NH,F,Premium
id_1842,NH,M,Premium
id_741,NH,F,Premium
id_8504,NH,M,Basic
id_3005,NH,M,Premium
id_4621,NH,F,Premium
id_6280,NH,M,Basic
id_8999,NH,F,Basic
id_9941,NH,F,Premium
id_6082,NH,F,Premium
id_788,NH,M,Basic
id_3871,NH,F,Premium
id_8754,NH,F,Premium
id_1477,NH,F,Premium
id_1643,NH,M,Premium
id_2646,NH,F,Basic
id_3525,NH,M,Premium
id_6023,NH,M,Premium
id_4960,NH,F,Basic
id_8394,NH,M,Premium
id_5517,NH,M,Premium
id_72,NH,F,Basic
id_9330,NH,F,Premium
id_6110,NH,M,Basic
id_1124,NH,M,Basic
id_5967,NH,F,Basic
id_93,NH,M,Basic
id_7616,NH,M,Basic
id_3539,NH,M,Basic
id_1041,NH,M,Premium
id_5336,NH,F,Basic
id_4460,NH,F,Basic
id_7900,NH,M,Premium
id_1810,NH,F,Premium
id_1394,NH,F,Basic
id_7922,NH,M,Basic
id_4201,NH,F,Basic
id_7270,NH,F,Basic
id_7420,NH,F,Basic
id_3028,NH,M,Premium
id_2706,NH,M,Basic
id_772,NH,M,Premium
id_1707,NH,M,Premium
id_8882,NH,F,Premium
id_4473,NH,M,Premium
id_5626,NH,F,Basic
id_1065,NH,M,Premium
id_4517,NH,F,Premium
id_5176,NH,M,Premium
id_5933,NH,F,Premium
id_4320,NH,M,Premium
id_8555,NH,M,Premium
id_4839,NH,F,Premium
id_9311,NH,M,Premium
id_3228,NH,M,Basic
id_4311,NH,M,Premium
id_4242,NH,F,Basic
id_8597,NH,F,Premium
id_6601,NH,F,Basic
id_8901,NH,F,Basic
id_7127,NH,F,Basic
id_6147,NH,F,Premium
id_5847,NH,M,Basic
id_4170,NH,M,Basic
id_2011,NH,M,Premium
id_2140,NH,M,Basic
id_4232,NH,M,Basic
id_277,NH,F,Premium
id_4768,NH,M,Basic
id_3035,NH,F,Basic
id_8286,NH,F,Basic
id_9175,NH,M,Premium
id_7877,NH,M,Basic
id_573,NH,M,Premium
id_7566,NH,F,Premium
id_9117,NH,M,Basic
id_543,NH,M,Basic
id_8515,NH,M,Premium
id_9909,NH,M,Premium
id_3204,NH,F,Premium
id_1569,NH,M,Premium
id_5738,NH,M,Basic
id_4749,NH,M,Premium
id_6821,NH,F,Basic
id_1325,NH,M,Basic
id_9387,NH,M,Basic
id_4287,NH,M,Premium
id_1832,NH,M,Basic
id_732,NH,F,Basic
id_7077,NH,F,Basic
id_8467,NH,M,Basic
id_4556,NH,M,Basic
id_6552,NH,F,Basic
id_9128,NH,M,Premium
id_510,NH,F,Basic
id_8005,NH,M,Premium
id_391,NH,M,Basic
id_6255,NH,M,Premium
id_5316,NH,F,Premium
id_2928,NH,M,Basic
id_5969,NH,M,Basic
id_1468,NH,M,Premium
id_9314,NH,M,Basic
id_3406,NH,F,Premium
id_3235,NH,M,Premium
id_2771,NH,F,Premium
id_3334,NH,M,Basic
id_2211,NH,F,Premium
id_3728,NH,M,Premium
id_1109,NH,F,Premium
id_4522,NH,M,Basic
id_7156,NH,M,Premium
id_7760,NH,F,Premium
id_9386,NH,F,Premium
id_4910,NH,M,Premium
id_5730,NH,M,Premium
id_8370,NH,F,Premium
id_9768,NH,F,Basic
id_1240,NH,M,Premium
id_8685,NH,F,Basic
id_6774,NH,M,Basic
id_1508,NH,F,Basic
id_8676,NH,F,Basic
id_767,NH,M,Basic
id_8686,NH,F,Basic
id_6919,NH,F,Basic
id_5574,NH,F,Premium
id_4190,NH,M,Premium
id_1524,NH,M,Basic
id_1597,NH,M,Premium
id_215,NH,F,Premium
id_1731,NH,M,Premium
id_5885,NH,M,Basic
id_7325,NH,M,Basic
id_3164,NH,M,Premium
