"order_id","customer_id","restaurant","meal_name","address","state_code","order_time","customer_subscription","price_in_order","total_quantity","gender","day_period","weekday","date"
"order_0","id_9352","Dutch Dining","Mac and Cheese","Haarlemmermeer","NH","16","Premium","7.8","2","F","afternoon","Sunday","13-02-2022"
"order_1","id_7457","Cheese Chalet","Chinotto","Utrecht","NH","13","Premium","11.37","2","F","afternoon","Saturday","19-02-2022"
"order_2","id_1037","Netherlands Nosh","Ready-to-Eat Curry","Emmen","NH","22","Premium","12.14","2","F","night","Sunday","20-02-2022"
"order_3","id_3606","Pancake Palace","Tonica","Arnhem","NH","11","Basic","9.29","2","F","morning","Tuesday","22-02-2022"
"order_4","id_6865","Hague Harvest","Beef Broth","Sittard","NH","20","Basic","13.85","2","M","evening","Wednesday","23-02-2022"
"order_5","id_1816","Delft Delights","Aranciata","Zeewolde","NH","22","Basic","16.21","2","M","night","Sunday","27-02-2022"
"order_6","id_7846","Canal City Cuisine","Frozen Burrito","Zandvoort","NH","20","Premium","5.88","2","F","evening","Friday","04-03-2022"
"order_7","id_8562","Dutch Delicacies","Frullato","Apeldoorn","NH","22","Premium","12.8","2","M","night","Wednesday","09-03-2022"
"order_8","id_7003","Gouda Gourmet","Chicken Salad Mix","Leeuwarden","NH","09","Premium","7.79","2","M","morning","Friday","11-03-2022"
"order_9","id_5009","Cheese Corner","Limoncino","Heerlen","NH","22","Premium","5.88","2","F","night","Tuesday","15-03-2022"
"order_10","id_7684","Windmill Whispers","Aranciata","Maastricht","NH","01","Basic","12.61","2","F","late_night","Thursday","17-03-2022"
"order_11","id_8214","Dutch Dining","Sambuca","Utrecht","NH","12","Premium","15.63","2","F","noon","Friday","18-03-2022"
"order_12","id_7764","Dyke Delicacies","Rosso","Volendam","NH","03","Premium","14.83","2","M","late_night","Wednesday","23-03-2022"
"order_13","id_6022","Utrecht Utopia","Spanakopita","Eindhoven","NH","19","Basic","7.93","2","M","evening","Sunday","27-03-2022"
"order_14","id_304","Gouda Grill","Negroni Sbagliato","Zandvoort","NH","03","Basic","8.02","2","F","late_night","Friday","08-04-2022"
"order_15","id_5653","Holland Hors d'oeuvres","Cider","Middelburg","NH","05","Basic","8.3","2","M","morning","Friday","08-04-2022"
"order_16","id_5989","Taste of the Tulips","Tuna Salad Mix","Amsterdam","NH","02","Premium","11.07","2","F","late_night","Sunday","10-04-2022"
"order_17","id_4912","Holland Hors d'oeuvres","Cookie Mix","Leiden","NH","01","Basic","5.47","2","M","late_night","Monday","11-04-2022"
"order_18","id_3793","Gouda Gourmet","Tarte Flambee","Utrecht","NH","10","Basic","16.39","2","M","morning","Saturday","16-04-2022"
"order_19","id_7585","Dutch Delicacies","Cookie Mix","Alkmaar","NH","00","Premium","14.13","2","M","late_night","Saturday","23-04-2022"
"order_20","id_9024","Cheese Corner","Fasolada","Maastricht","NH","00","Basic","8.38","2","M","late_night","Sunday","24-04-2022"
"order_21","id_1049","Dyke Delicacies","Ready-to-Eat Sandwich","Delft","NH","09","Basic","9.33","2","F","morning","Sunday","24-04-2022"
